TransactionAmount,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,AccountBalance,Target
14.089999999999998,Debit,ATM,70.0,Doctor,81.0,5112.21,3
376.24000000000046,Debit,ATM,68.0,Doctor,141.0,13758.91,3
126.28999999999996,Debit,Online,19.0,Student,56.0,1122.35,2
184.49999999999994,Debit,Online,26.0,Student,25.000000000000004,8569.06,2
92.15,Debit,ATM,18.0,Student,172.0,781.68,2
7.08,Credit,ATM,37.0,Doctor,139.0,13316.71,1
171.41999999999993,Credit,Branch,67.0,Retired,291.0,2796.24,4
106.22999999999998,Credit,Branch,51.0,Engineer,86.0,9095.14,0
815.9599999999998,Debit,ATM,55.0,Doctor,120.0,1021.88,0
17.78,Credit,Online,52.0,Engineer,59.00000000000001,7599.52,0
190.02000000000007,Debit,Online,21.0,Student,173.0,1528.81,2
494.5200000000003,Credit,Branch,24.0,Student,111.0,1620.02,2
781.7599999999996,Debit,ATM,26.0,Student,123.0,189.69,2
166.98999999999995,Debit,Online,18.0,Student,134.0,299.93,2
465.4500000000001,Debit,ATM,36.0,Engineer,129.0,3465.54,1
555.8000000000006,Credit,Branch,19.0,Student,158.0,1131.26,2
492.92999999999984,Debit,Online,39.0,Engineer,234.0,5109.97,1
18.68,Credit,Branch,59.0,Retired,106.0,7948.37,4
71.48000000000002,Credit,Online,18.0,Student,169.0,6568.59,2
59.32,Debit,Branch,71.0,Retired,37.99999999999999,5750.89,4
85.76999999999997,Debit,Branch,38.0,Doctor,93.0,9146.19,1
345.84000000000026,Debit,Online,22.0,Student,142.0,1402.5,2
145.54000000000005,Debit,Online,21.0,Student,96.0,1930.96,2
7.49,Credit,Online,65.0,Retired,276.0,3634.67,4
246.92999999999998,Debit,ATM,23.0,Student,158.0,673.35,2
40.32000000000001,Debit,Branch,37.0,Engineer,95.0,2686.52,1
127.45000000000002,Debit,Online,44.0,Doctor,197.0,1772.06,0
56.17000000000001,Debit,Branch,27.0,Student,283.0,1351.69,2
28.31000000000001,Credit,Online,59.0,Doctor,20.0,8334.47,3
59.11999999999999,Debit,ATM,29.0,Doctor,257.0,9823.64,1
396.45000000000005,Debit,ATM,49.0,Engineer,168.00000000000003,9690.15,0
877.8099999999997,Debit,Online,22.0,Student,150.0,399.0,2
255.26,Credit,Branch,45.0,Doctor,50.00000000000001,14815.87,0
124.75999999999999,Debit,Branch,49.0,Engineer,45.0,5764.72,0
78.12999999999998,Debit,Branch,26.0,Student,145.0,900.61,2
795.3100000000002,Debit,ATM,66.0,Doctor,90.0,7914.88,3
335.6299999999999,Debit,Online,55.0,Retired,215.99999999999997,1019.3899999999999,0
328.47000000000037,Debit,ATM,63.0,Retired,119.0,4323.66,4
34.020000000000024,Debit,Online,38.0,Doctor,18.999999999999996,14214.48,1
241.41999999999993,Credit,Online,57.0,Doctor,116.00000000000001,13357.02,3
55.31999999999998,Debit,ATM,19.0,Student,117.0,241.78999999999996,2
304.31,Debit,Branch,27.0,Student,33.0,868.61,2
164.49000000000007,Debit,Branch,26.0,Student,75.0,1509.27,2
