TransactionAmount,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,AccountBalance,Target
0.12416209222896823,1,0,0.8387096774193548,0,0.24482758620689654,0.336789508321911,3
0.711598375603174,1,0,0.8064516129032258,0,0.45172413793103444,0.9180493943514934,3
0.5133291405096969,1,2,0.016129032258064557,3,0.1586206896551724,0.06857787048620612,2
0.5820558211318868,1,2,0.12903225806451613,3,0.05172413793103449,0.5691704440570887,2
0.4563426258102804,1,0,0.0,3,0.5586206896551724,0.045676901865379926,2
0.010165940486089708,0,0,0.30645161290322587,0,0.44482758620689655,0.8883232419925262,1
0.5687112279378134,0,1,0.7903225806451613,2,0.9689655172413792,0.18110231456615078,4
0.48203206904340634,0,1,0.532258064516129,1,0.26206896551724135,0.6045352885460201,0
0.8526167926685319,1,0,0.5967741935483871,0,0.3793103448275862,0.06182394346787634,0
0.16408557629866394,0,2,0.5483870967741935,1,0.16896551724137931,0.5039947458252638,0
0.5874072808629603,1,2,0.04838709677419356,3,0.5620689655172414,0.09590146136776602,2
0.7613705787684985,0,1,0.09677419354838712,3,0.3482758620689655,0.10203290043755661,2
0.8448124123317434,1,0,0.12903225806451613,3,0.3896551724137931,0.005881368317245673,2
0.5639609824745003,1,2,0.0,3,0.4275862068965517,0.01329206717760872,2
0.7503372674666825,1,0,0.29032258064516125,1,0.4103448275862069,0.22609488302806105,1
0.7826496508119015,0,1,0.016129032258064557,3,0.5103448275862069,0.06917683027254352,2
0.7607840439992374,1,2,0.33870967741935487,1,0.7724137931034483,0.33663892808381946,1
0.1726284235009632,0,1,0.6612903225806451,2,0.3310344827586207,0.5274456012084064,4
0.4105535860924172,0,2,0.0,3,0.5482758620689655,0.43469220794324204,2
0.37703823196693065,1,1,0.8548387096774193,2,0.09655172413793102,0.3797236987077662,4
0.44339430404311997,1,1,0.32258064516129037,0,0.2862068965517241,0.607967039061455,1
0.6962651855848637,1,2,0.06451612903225812,3,0.4551724137931034,0.08741048374573722,2
0.5390305406410324,1,2,0.04838709677419356,3,0.296551724137931,0.12293531973764085,2
0.019199109151109173,0,2,0.7580645161290323,2,0.9172413793103449,0.23746436323717937,4
0.6349971969827245,1,0,0.08064516129032262,3,0.5103448275862069,0.038394599547318164,2
0.30799580182845365,1,1,0.30645161290322587,1,0.29310344827586204,0.17372657183248758,1
0.5149847290945064,1,2,0.4193548387096775,0,0.6448275862068966,0.11225353409802102,0
0.3672500088888354,1,1,0.14516129032258068,3,0.9413793103448276,0.08399486682724079,2
0.24532243355054417,0,2,0.6612903225806451,0,0.034482758620689655,0.553400525283027,3
0.3764321243183075,1,0,0.1774193548387097,0,0.8517241379310345,0.6535074775860644,1
0.7211225432773901,1,0,0.5,1,0.5448275862068966,0.6445338365222957,0
0.86593530025881,1,2,0.06451612903225812,3,0.4827586206896552,0.019951881547131282,2
0.6410280731355517,0,1,0.435483870967742,0,0.13793103448275862,0.9891017552681237,0
0.5111222514693589,1,1,0.5,1,0.1206896551724138,0.38065339723134034,0
0.42657359166628983,1,1,0.12903225806451613,3,0.46551724137931033,0.053671771381553525,2
0.8479445344681885,1,0,0.7741935483870968,0,0.27586206896551724,0.5251942922022965,3
0.6908122708028318,1,2,0.5967741935483871,2,0.7103448275862069,0.06165655739964063,0
0.6868887095890034,1,0,0.7258064516129032,2,0.3758620689655172,0.2837805588812426,4
0.27780550743093535,1,2,0.32258064516129037,0,0.031034482758620682,0.9486743225065695,1
0.6308955921534406,0,2,0.6290322580645161,0,0.36551724137931035,0.8910330140449685,3
0.36451625403620347,1,0,0.016129032258064557,3,0.36896551724137927,0.0093837033192859,2
0.672990026610443,1,1,0.14516129032258068,3,0.07931034482758621,0.051520625123102716,2
0.5612246524965175,1,1,0.12903225806451613,3,0.22413793103448276,0.09458791768369951,2
0.7670702788686191,1,2,0.016129032258064557,3,0.3275862068965517,0.04567824633179147,2
0.8045814147010232,1,2,0.12903225806451613,3,0.4413793103448276,0.010978240483362565,2
0.7339281240734635,0,2,0.8225806451612903,2,0.38275862068965516,0.25580759072291287,4
0.44267779495432247,1,1,0.7903225806451613,0,0.46551724137931033,0.9950866474990573,3
0.566667594178131,1,1,0.16129032258064518,3,0.4551724137931034,0.05489994144848779,2
0.4792884473960184,1,0,0.7096774193548387,2,0.27586206896551724,0.2941410170485063,4
0.6803933630674511,1,1,0.11290322580645162,3,0.2517241379310345,0.08213546978009237,2
0.38069252427510913,0,1,0.6290322580645161,2,0.14482758620689656,0.23075950924287048,4
0.6658277487986185,0,1,0.8064516129032258,2,0.17586206896551726,0.3049364100999006,4
0.7165050159575229,1,1,0.4838709677419355,1,0.06206896551724138,0.37163807770881413,0
0.49171017182393806,1,1,0.08064516129032262,3,0.1413793103448276,0.05566763176947241,2
0.6471416996522644,1,1,0.9838709677419355,2,0.7482758620689656,0.2737884845107386,4
0.6982537801644707,1,2,0.4838709677419355,1,0.7448275862068966,0.44027376025071613,0
0.7970151509777187,0,1,0.6129032258064516,1,0.32413793103448274,0.5617241168368202,0
0.0,1,2,0.5161290322580645,0,0.393103448275862,0.9334576516608531,0
0.5979049599458518,0,1,0.3870967741935484,1,0.6068965517241379,0.16690676595999274,1
0.6694348790527019,1,1,0.6129032258064516,2,0.7413793103448276,0.19579128234534102,4
0.7708924209033018,1,1,0.11290322580645162,3,0.4068965517241379,0.12431070887663784,2
0.4999313066295952,0,2,0.6774193548387097,1,0.020689655172413793,0.23955500850711126,0
0.5234519735537547,1,0,0.4193548387096775,1,0.7241379310344828,0.2516894901043911,0
0.5361054750353613,1,2,0.27419354838709675,1,0.43103448275862066,0.4216663451151166,1
0.22183159645138384,1,0,0.7096774193548387,2,0.15517241379310343,0.38746244737254293,4
0.6251602505125687,0,2,0.12903225806451613,3,0.9310344827586207,0.4326103017049851,2
0.9248283247917658,1,1,0.03225806451612906,3,0.04827586206896552,0.03386374774045615,2
0.45512386552833006,1,1,0.4193548387096775,0,0.20344827586206898,0.9797025905851051,0
0.5045174437250681,1,1,0.016129032258064557,3,0.23103448275862065,0.08471415635741028,2
0.5716823392750859,1,2,0.5161290322580645,0,0.19655172413793104,0.7008797515963859,0
0.581276942621915,1,0,0.32258064516129037,1,0.3172413793103448,0.03027200572204905,1
0.8749975031461829,1,0,0.7258064516129032,2,0.2655172413793103,0.31014420074496885,4
0.6443099436991347,1,2,0.5,0,0.5517241379310345,0.4755821371503631,0
0.5501076500786246,1,2,0.25806451612903225,0,0.506896551724138,0.0955592946660312,1
